,customer_id,name,email,phone,location,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
0,101,Paula Anderson,zacharybenjamin@example.net,(472)511-0850,Sweeneyview,2023-06-18,TRUE,Chinese,91,5
1,102,Miss Erin Hernandez,diana99@example.net,867-317-9695,Jennifershire,2022-05-17,TRUE,Mexican,39,3
2,103,Bradley Mccall,torreslindsay@example.net,430-501-5768x5586,Mitchellfort,2024-11-13,TRUE,Italian,68,2
3,104,Robert Russell,cathyjohnson@example.com,001-203-949-0026x73780,Lake Taylor,2024-01-08,TRUE,Chinese,66,1
4,105,Charles Robinson,ljackson@example.org,(457)518-6628,South Angela,2022-03-05,FALSE,Chinese,30,1
5,106,Daniel Arnold,russellsean@example.org,445.891.8548,East Patriciaport,2024-07-25,TRUE,Mexican,91,5
6,107,Steven Nguyen,marilynwolf@example.net,572-695-3611x07102,South Joshua,2023-08-21,TRUE,Chinese,36,4
7,108,Jillian Wagner,kevin40@example.org,7279453955,Esparzafort,2022-10-25,TRUE,Chinese,90,3
8,109,Mrs. Angela Powell,fcamacho@example.org,(958)542-3796x625,Holdenshire,2021-06-24,TRUE,Mexican,25,2
9,110,Jeremy Chavez,awilliams@example.org,+1-316-201-6691x16688,Lake Natalieberg,2020-03-17,TRUE,Italian,4,1
10,111,Jessica Blackwell,burtontonya@example.org,262-993-3851,Stephanieshire,2021-10-14,FALSE,Indian,85,3
11,112,Kayla Prince,lsmith@example.net,001-393-945-2184,Wrighthaven,2024-09-23,TRUE,Mexican,86,4
12,113,Richard Graves,oreilly@example.org,227.795.2791x8576,Susanmouth,2023-06-05,FALSE,French,71,2
13,114,Jonathan Petersen,alane@example.net,890.947.7716,Annamouth,2024-05-29,TRUE,Mexican,97,1
14,115,Darrell Meadows,michaelhenry@example.org,+1-848-826-1482x5710,Matthewville,2024-01-05,FALSE,French,51,3
15,116,Stephen Ewing,mooneysamuel@example.org,244.600.6217x71205,Micheleland,2020-07-07,FALSE,Italian,45,1
16,117,Hannah Schwartz,marvindillon@example.net,(799)330-7331,West Bobbyfort,2022-08-19,FALSE,French,53,2
17,118,Bonnie Morgan,pacedeborah@example.com,920.562.4241,Lake Troy,2021-08-24,FALSE,Indian,98,4
18,119,Erika Harris,brownbrian@example.com,2185372874,East Brad,2021-06-28,TRUE,Chinese,50,2
